word,occurence
queden,17.0
terminis,4.0
investidura,42.0
'El,27.0
@jordialapreso',3.0
d'@AntoniBassas,3.0
https://t.co/pPX0fUPzoH,3.0
Puigdemont,189.0
creu,32.0
reprimirà,3.0
provocar,7.0
"""escàndol",3.0
"internacional""",3.0
https://t.co/DByIX8HusR,3.0
l'acte,24.0
comuns,19.0
Can,4.0
"Zam,",2.0
adaptat,2.0
bandera,6.0
'sí',2.0
l'ANC,7.0
'aSí,2.0
no',2.0
https://t.co/k1nseISCqJ,2.0
h…,34.0
@fsalleres:,2.0
Aquesta,45.0
d,43.0
Amer,2.0
enganxat,2.0
caure,13.0
l,20.0
"estelada,",2.0
havien,11.0
anat,32.0
recollir,4.0
estelada,3.0
empor…,2.0
@sergipinkman:,4.0
Tràgic.,1.0
pitjors,2.0
notícies,14.0
humanitat,3.0
últimes,1.0
dècades.,2.0
feixisme,6.0
s'imposa,1.0
Brasil,1.0
@jonathanmartinz:,1.0
NOTA,1.0
MENTAL,1.0
-,24.0
Gente,2.0
pudo,7.0
"President:

Carles",1.0
"Puigdemont
Oriol",1.0
"Junqueras
Joaquim",1.0
"Forn
Jordi",1.0
"Turull
Raül",1.0
Romev…,1.0
@GemmaGeis:,3.0
Doncs,61.0
vols,47.0
beneficiem,1.0
2.200,5.0
milions,48.0
d’euros,4.0
polítiques,23.0
socials,21.0
et,151.0
refer…,6.0
@estercapella:,7.0
teu,84.0
compromís,32.0
teva,43.0
generositat!,1.0
https://t.co/S2erbPPhdz,1.0
@Elvellblues:,1.0
NI,3.0
UN,6.0
PAS,1.0
ENRERE,1.0
CAP,5.0
LA,21.0
"INDEPENDÈNCIA,",1.0
investim,3.0
Mas,21.0
"
Manifest",1.0
CUP-Poble,1.0
Actiu,1.0
"
https://t.co/MOmJ6nbAsM",1.0
https://t.co/X…,7.0
@AlfredBosch:,987.0
continua,13.0
barrejant,10.0
allò,39.0
públic,39.0
privat.,12.0
inadmissible,10.0
filtrar,10.0
"""enquesta",11.0
"municipal""",10.0
Tramvia…,10.0
Greg,4.0
Clark,4.0
majors,5.0
experts,4.0
mundials,4.0
turisme.,4.0
Compartim,5.0
mateixa,30.0
visió:,4.0
turisme,28.0
qualitat,9.0
dir,204.0
posar,45.0
Crec,5.0
bo,9.0
destacar,2.0
testimoni,15.0
"públic,",2.0
qual,14.0
s'hi,17.0
identifica,3.0
molta,27.0
gent.,19.0
Gràcies,81.0
"coratge,",1.0
@hierro34,2.0
Diumenge,11.0
assistiré,7.0
sopar,20.0
d'inauguració,7.0
#MWC2018.,8.0
vull,19.0
compartir,24.0
taula,20.0
simbolitza,7.0
repres…,7.0
ciutadans,31.0
poden,37.0
patir,11.0
conseqüències,7.0
Metro.,12.0
Demano,8.0
assumeixi,21.0
responsab…,8.0
“I'll,3.0
serve,3.0
life,4.0
in,47.0
jail,3.0
if,3.0
must.,4.0
I'm,3.0
prepared,3.0
to,64.0
spend,3.0
lot,3.0
of,43.0
time,3.0
"prison"",",3.0
says,3.0
"@JCuixart,",3.0
head,3.0
catalan,4.0
cult…,6.0
.@AdaColau,42.0
prometre,12.0
l'alcaldessa,9.0
consultes.,3.0
Demanem,43.0
doni,9.0
veu,56.0
tema,16.0
transcendent,2.0
s'ha,84.0
gastat,4.0
34M€,2.0
l'operatiu,3.0
policial,18.0
reprimir,6.0
mateix,67.0
costa,7.0
construir,16.0
11,14.0
escoles,32.0
#priorit…,2.0
@PSOE,6.0
decidit,16.0
treballar,38.0
contra,255.0
fugir,10.0
empreses.,1.0
passarà,9.0
res?,1.0
@jaumecollboni,10.0
@ad…,1.0
estreny,4.0
col·laboració,8.0
l'Hisenda,4.0
Catalana.,8.0
empenyent,6.0
exerceixi,4.0
país,92.0
tots…,4.0
"Catalunya,",32.0
l'Estat,61.0
francès,3.0
arreu,6.0
ordenes,2.0
expulsar,2.0
persones,109.0
miraments,2.0
https://t.co/6q5HCs4P3p,2.0
Emociona,5.0
llegir,20.0
històries,6.0
superació,4.0
d'en,17.0
Glenn.,4.0
talent,19.0
construeix,4.0
partir,31.0
d'històries,4.0
matí,27.0
m'ha,9.0
arribat,10.0
l’amic,1.0
@jcuixart,28.0
Soto,8.0
Real.,1.0
Minuts,1.0
abans,57.0
l’havia,1.0
votat,24.0
pe…,23.0
ciutat,156.0
símbols,8.0
emblemàtics,2.0
ciutat.,36.0
Entra,6.0
https://t.co/bQ78dT7r54,2.0
signa,4.0
salvar,7.0
#…,16.0
Tanca,2.0
Model.,14.0
Feia,3.0
dècades,3.0
l'Eixample,3.0
esperava.,2.0
veïns,78.0
tants,9.0
anys,174.0
lluita,28.0
@CarlesMundo,38.0
c…,30.0
demanar,68.0
públicament,9.0
retirada,7.0
projecte,60.0
invertir,8.0
119M€,4.0
Ronda,4.0
Litoral.,3.0
hem,170.0
reclamat…,3.0
Us,62.0
proposo,7.0
lluitar,11.0
junts,23.0
sàpiguen,5.0
l’hora,6.0
defensar-la,6.0
trobaran,6.0
autèntics,5.0
gegan…,5.0
Ja,89.0
n'hi,16.0
prou,30.0
d'insultar,2.0
democràcia,36.0
independència,39.0
d'Eslovènia,1.0
https://t.co/nVGr3t4hG5,1.0
aquells,21.0
constitueixen,2.0
nou,93.0
partit,104.0
polític,35.0
demanem:,1.0
'sigueu,1.0
valents,3.0
tingueu,5.0
l'únic,10.0
canv…,1.0
“Votar,7.0
delicte.,10.0
L'1-O,8.0
dos,67.0
"por,",13.0
sinó,47.0
am…,17.0
Sobre,10.0
l'Hotel,7.0
"Palau,",5.0
just,15.0
l'Itzíar,2.0
González,9.0
s'ho,35.0
jugar,11.0
fer-hi,10.0
front…,2.0
He,17.0
llegit,11.0
reflexions,8.0
@GenisRoca,2.0
@SentitCritic,10.0
tecnologia,3.0
digital,3.0
canvis,9.0
comportarà.,2.0
Val,4.0
Hilari,6.0
Salvadó,6.0
alcalde,28.0
pocs,28.0
