"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"nnGzJGcAm2FofS5jNOQa9b9bBP0BIizhg3DjDNHN5SY=","nnGzJGcAm2FofS5jNOQa9b9bBP0BIizhg3DjDNHN5SY=","nnGzJGcAm2FofS5jNOQa9b9bBP0BIizhg3DjDNHN5SY=","Terrassa, España","Republicana. Vull un país lliure","","17","46","2018-11-29","en"
"6rPPQm8fzLZAA71vTmX2Nin45YStoMwUeMIIkq7Cg=","6rPPQm8fzLZAA71vTmX2Nin45YStoMwUeMIIkq7Cg=","6rPPQm8fzLZAA71vTmX2Nin45YStoMwUeMIIkq7Cg=","","Entre todas, todo","","0","0","2018-12-12","en"
"KP5YMWpjuwsjsDERWSgWmv6P9Mo52dSkR1VX9tOg1xo=","KP5YMWpjuwsjsDERWSgWmv6P9Mo52dSkR1VX9tOg1xo=","KP5YMWpjuwsjsDERWSgWmv6P9Mo52dSkR1VX9tOg1xo=","","Ciberactivistes d'@Esquerra_ERC. Treballant des de la xarxa per una República Catalana justa! ✊🏼","","2459","4656","2013-03-01","es"
"U07+ovhpwHvX886BsOrh+lgBxFc1gVDHbWiX3q3P5Q=","U07+ovhpwHvX886BsOrh+lgBxFc1gVDHbWiX3q3P5Q=","U07+ovhpwHvX886BsOrh+lgBxFc1gVDHbWiX3q3P5Q=","","Barcelonina i independentista.","","101","263","2018-02-13","en"
"Fa93qlpuY4fS8cmCde0owlwmhgEpvvc7tNNPgbQJHZA=","Fa93qlpuY4fS8cmCde0owlwmhgEpvvc7tNNPgbQJHZA=","Fa93qlpuY4fS8cmCde0owlwmhgEpvvc7tNNPgbQJHZA=","","Barcelonina. M’agrada llegir i escriure","","182","288","2018-01-18","ca"
"D3SRw1xHubzK8dGbxOXzjMYep73U5D1XbTalvHMhkqc=","D3SRw1xHubzK8dGbxOXzjMYep73U5D1XbTalvHMhkqc=","D3SRw1xHubzK8dGbxOXzjMYep73U5D1XbTalvHMhkqc=","Barcelona, Espanya","Independentista d'esquerres. Llibertat presos polítics!","","245","418","2017-11-30","en"
"oX5WECP7am98NtxC9Tx4dcEntIE90EHUQOaDRcKU=","oX5WECP7am98NtxC9Tx4dcEntIE90EHUQOaDRcKU=","oX5WECP7am98NtxC9Tx4dcEntIE90EHUQOaDRcKU=","","","","0","0","2018-12-12","en"
"Bi1BTqtKU6MxfBmj58jkWxOZRSDyr60ZtNRQMq2EMtc=","Bi1BTqtKU6MxfBmj58jkWxOZRSDyr60ZtNRQMq2EMtc=","Bi1BTqtKU6MxfBmj58jkWxOZRSDyr60ZtNRQMq2EMtc=","","","","0","0","2018-12-12","en"
"8F14a6Qi3LXaWYMn2mlTDcXdxBEoia+DlUhpoLSY6sA=","8F14a6Qi3LXaWYMn2mlTDcXdxBEoia+DlUhpoLSY6sA=","8F14a6Qi3LXaWYMn2mlTDcXdxBEoia+DlUhpoLSY6sA=","","","","41","75","2018-12-11","en"
"MXRyIffolYVIxjHoo4L8kZrhgwV0Q5gTL3t4EYo1wU=","MXRyIffolYVIxjHoo4L8kZrhgwV0Q5gTL3t4EYo1wU=","MXRyIffolYVIxjHoo4L8kZrhgwV0Q5gTL3t4EYo1wU=","Barcelona, España","#FemRepública","","390","1232","2016-05-19","es"
"7iyOSIpqkx0Z2OqHOqMCrR7QebPc746J19H0qCgStEI=","7iyOSIpqkx0Z2OqHOqMCrR7QebPc746J19H0qCgStEI=","7iyOSIpqkx0Z2OqHOqMCrR7QebPc746J19H0qCgStEI=","","Grup impulsor de la Crida Nacional per la República a Girona. Construïm junts un nou espai polític que faci la República. Uneix-te a la Crida","https://t.co/UfhLJHL1yk","93","231","2018-10-30","en"
"+U90wpIvhEI+To2IZHv5MxW8438+NJFVftZNib3v18I=","+U90wpIvhEI+To2IZHv5MxW8438+NJFVftZNib3v18I=","+U90wpIvhEI+To2IZHv5MxW8438+NJFVftZNib3v18I=","Vic, Espanya","Independentista des de que tinc ús de raó","","2194","67","2013-12-27","ca"
"KGAI0fEBvCGsNyUXU8OSAtZPzu8MFzhtPcvUcEE9Dk8=","KGAI0fEBvCGsNyUXU8OSAtZPzu8MFzhtPcvUcEE9Dk8=","KGAI0fEBvCGsNyUXU8OSAtZPzu8MFzhtPcvUcEE9Dk8=","Barcelona","Catalanista, barcelonina, aficionada als castells.","","334","650","2016-10-05","ca"
"GGJvWx94vRt2PGYT4LH3v8h5gd+vWI73RETXphkDx44=","GGJvWx94vRt2PGYT4LH3v8h5gd+vWI73RETXphkDx44=","GGJvWx94vRt2PGYT4LH3v8h5gd+vWI73RETXphkDx44=","","","","0","0","2018-12-12","en"
"gALa7kZHTuOyCxmfYdFyYnPG13B3K9+mNaWhSBshapM=","gALa7kZHTuOyCxmfYdFyYnPG13B3K9+mNaWhSBshapM=","gALa7kZHTuOyCxmfYdFyYnPG13B3K9+mNaWhSBshapM=","","","","0","0","2018-12-12","en"
"YrT7Ex3niJbdGprZ2Sv6HZEE6L42ZZp4wy7P0NPXRc=","YrT7Ex3niJbdGprZ2Sv6HZEE6L42ZZp4wy7P0NPXRc=","YrT7Ex3niJbdGprZ2Sv6HZEE6L42ZZp4wy7P0NPXRc=","","","","177","296","2018-02-15","ca"
"9hoyav5lRWrok1PiJTnm6OGGgh6GLZMJ3fMP4sSIlM=","9hoyav5lRWrok1PiJTnm6OGGgh6GLZMJ3fMP4sSIlM=","9hoyav5lRWrok1PiJTnm6OGGgh6GLZMJ3fMP4sSIlM=","","","","0","0","2018-12-12","en"
"dtaGQYBiOmt+jNfeDcjFYTTfrWBC5E5bo8gfFFZtPY=","dtaGQYBiOmt+jNfeDcjFYTTfrWBC5E5bo8gfFFZtPY=","dtaGQYBiOmt+jNfeDcjFYTTfrWBC5E5bo8gfFFZtPY=","","","","0","0","2018-12-12","en"
